Country,Country_Code,Population,Year
Equatorial Guinea,GNQ,1221490,2016
Eritrea,ERI,4474690,2011
Estonia,EST,1316481,2016
Ethiopia,ETH,102403196,2016
Euro area,EMU,340894606,2016
Europe & Central Asia,ECS,911995305,2016
Europe & Central Asia (excluding high income),ECA,417424643,2016
Europe & Central Asia (IDA & IBRD countries),TEC,455372659,2016
European Union,EUU,511497415,2016
Faroe Islands,FRO,49117,2016
Fiji,FJI,898760,2016
Finland,FIN,5495096,2016
Fragile and conflict affected situations,FCS,496575241,2016
France,FRA,66896109,2016
French Polynesia,PYF,280208,2016
Gabon,GAB,1979786,2016
Georgia,GEO,3719300,2016
Germany,DEU,82667685,2016
Ghana,GHA,28206728,2016
Gibraltar,GIB,34408,2016
Greece,GRC,10746740,2016
Greenland,GRL,56186,2016
Grenada,GRD,107317,2016
Guam,GUM,162896,2016
Guatemala,GTM,16582469,2016
Guinea,GIN,12395924,2016
Guinea-Bissau,GNB,1815698,2016
Guyana,GUY,773303,2016
Haiti,HTI,10847334,2016
Heavily indebted poor countries (HIPC),HPC,744602976,2016
High income,HIC,1190029421,2016
Honduras,HND,9112867,2016
Hong Kong SAR - China,HKG,7346700,2016
Hungary,HUN,9817958,2016
IBRD only,IBD,4697247117,2016
Iceland,ISL,334252,2016
IDA & IBRD total,IBT,6271593092,2016
IDA blend,IDB,521159393,2016
IDA only,IDX,1053186582,2016
IDA total,IDA,1574345975,2016
India,IND,1324171354,2016
Indonesia,IDN,261115456,2016
Iran,IRN,80277428,2016
Iraq,IRQ,37202572,2016
Ireland,IRL,4773095,2016
Isle of Man,IMN,83737,2016
Israel,ISR,8547100,2016
Italy,ITA,60600590,2016
Jamaica,JAM,2881355,2016
Japan,JPN,126994511,2016
Jordan,JOR,9455802,2016
Kazakhstan,KAZ,17797032,2016
Kenya,KEN,48461567,2016
Kiribati,KIR,114395,2016
Kosovo,XKX,1816200,2016
Kuwait,KWT,4052584,2016
Kyrgyz Republic,KGZ,6082700,2016
Lao PDR,LAO,6758353,2016
Late-demographic dividend,LTE,2262709895,2016
Latin America & Caribbean,LCN,637664490,2016
Latin America & Caribbean (excluding high income),LAC,610136397,2016
Latin America & the Caribbean (IDA & IBRD countries),TLA,621534921,2016
Latvia,LVA,1960424,2016
Least developed countries: UN classification,LDC,980609415,2016
Lebanon,LBN,6006668,2016
Lesotho,LSO,2203821,2016
Liberia,LBR,4613823,2016
Libya,LBY,6293253,2016
Liechtenstein,LIE,37666,2016
Lithuania,LTU,2872298,2016
Low & middle income,LMY,6247922508,2016
Low income,LIC,659272676,2016
Lower middle income,LMC,3012923806,2016
Luxembourg,LUX,582972,2016
Macao SAR - China,MAC,612167,2016
Madagascar,MDG,24894551,2016
Malawi,MWI,18091575,2016
Malaysia,MYS,31187265,2016
Maldives,MDV,417492,2016
Mali,MLI,17994837,2016
Malta,MLT,436947,2016
Marshall Islands,MHL,53066,2016
Mauritania,MRT,4301018,2016
Mauritius,MUS,1263473,2016
Mexico,MEX,127540423,2016
Micronesia,FSM,104937,2016
Middle East & North Africa,MEA,436720722,2016
Middle East & North Africa (excluding high income),MNA,373719055,2016
Middle East & North Africa (IDA & IBRD countries),TMN,369167489,2016
Middle income,MIC,5592833481,2016
Moldova,MDA,3552000,2016
Monaco,MCO,38499,2016
Mongolia,MNG,3027398,2016
Montenegro,MNE,622781,2016
Morocco,MAR,35276786,2016
Mozambique,MOZ,28829476,2016
Myanmar,MMR,52885223,2016
Namibia,NAM,2479713,2016
Nauru,NRU,13049,2016
Nepal,NPL,28982771,2016
Netherlands,NLD,17018408,2016
New Caledonia,NCL,278000,2016
New Zealand,NZL,4692700,2016
Nicaragua,NIC,6149928,2016
Niger,NER,20672987,2016
Nigeria,NGA,185989640,2016
North America,NAC,359479269,2016
North Macedonia,MKD,2081206,2016
Northern Mariana Islands,MNP,55023,2016
Norway,NOR,5232929,2016
OECD members,OED,1289937319,2016
Oman,OMN,4424762,2016
Other small states,OSS,29983809,2016
Pacific island small states,PSS,2388875,2016
Pakistan,PAK,193203476,2016
Palau,PLW,21503,2016
Panama,PAN,4034119,2016
Papua New Guinea,PNG,8084991,2016
Paraguay,PRY,6725308,2016
Peru,PER,31773839,2016
Philippines,PHL,103320222,2016
Poland,POL,37948016,2016
Portugal,PRT,10324611,2016
Post-demographic dividend,PST,1102730983,2016
Pre-demographic dividend,PRE,879292453,2016
Puerto Rico,PRI,3411307,2016
Qatar,QAT,2569804,2016
Republic of Congo,COG,5125821,2016
Republic of Korea,KOR,51245707,2016
Romania,ROU,19705301,2016
Russia,RUS,144342396,2016
Rwanda,RWA,11917508,2016
Samoa,WSM,195125,2016
San Marino,SMR,33203,2016
Sao Tome and Principe,STP,199910,2016
Saudi Arabia,SAU,32275687,2016
Senegal,SEN,15411614,2016
Serbia,SRB,7057412,2016
Seychelles,SYC,94677,2016
Sierra Leone,SLE,7396190,2016
Singapore,SGP,5607283,2016
Sint Maarten (Dutch part),SXM,40005,2016
Slovak Republic,SVK,5428704,2016
Slovenia,SVN,2064845,2016
Small states,SST,39618156,2016
Solomon Islands,SLB,599419,2016
Somalia,SOM,14317996,2016
South Africa,ZAF,55908865,2016
South Asia,SAS,1766383450,2016
South Asia (IDA & IBRD),TSA,1766383450,2016
South Sudan,SSD,12230730,2016
Spain,ESP,46443959,2016
Sri Lanka,LKA,21203000,2016
St. Kitts and Nevis,KNA,54821,2016
St. Lucia,LCA,178015,2016
St. Martin (French part),MAF,31949,2016
St. Vincent and the Grenadines,VCT,109643,2016
Sub-Saharan Africa,SSF,1033106135,2016
Sub-Saharan Africa (excluding high income),SSA,1033011458,2016
Sub-Saharan Africa (IDA & IBRD countries),TSS,1033106135,2016
Sudan,SDN,39578828,2016
Suriname,SUR,558368,2016
Swaziland,SWZ,1343098,2016
Sweden,SWE,9903122,2016
Switzerland,CHE,8372098,2016
Syrian Arab Republic,SYR,18430453,2016
Taiwan,TWN,23780000,2018
Tajikistan,TJK,8734951,2016
Tanzania,TZA,55572201,2016
Thailand,THA,68863514,2016
The Bahamas,BHS,391232,2016
The Gambia,GMB,2038501,2016
Timor-Leste,TLS,1268671,2016
Togo,TGO,7606374,2016
Tonga,TON,107122,2016
Trinidad and Tobago,TTO,1364962,2016
Tunisia,TUN,11403248,2016
Turkey,TUR,79512426,2016
Turkmenistan,TKM,5662544,2016
Turks and Caicos Islands,TCA,34900,2016
Tuvalu,TUV,11097,2016
Uganda,UGA,41487965,2016
Ukraine,UKR,45004645,2016
United Arab Emirates,ARE,9269612,2016
United Kingdom,GBR,65637239,2016
United States of America,USA,323127513,2016
Upper middle income,UMC,2579909675,2016
Uruguay,URY,3444006,2016
Uzbekistan,UZB,31848200,2016
Vanuatu,VUT,270402,2016
Venezuela,VEN,31568179,2016
Vietnam,VNM,92701100,2016
Virgin Islands (U.S.),VIR,102951,2016
West Bank and Gaza,PSE,4551566,2016
World,WLD,7442135578,2016
Yemen,YEM,27584213,2016
Zambia,ZMB,16591390,2016
Zimbabwe,ZWE,16150362,2016
